Id	Code	PD code	Accepted name	Genus
254	POPTRE	Populus_tremula	Populus tremulaÊL.	Populus
255	POPX C	Populus_x_canadensis	Populus x canadensis Moench	Populus
263	PRU	Prunus	Prunus spp.	Prunus
418	PRUARM	Prunus_armeniaca	Prunus armeniaca?L.	Prunus
256	PRUAVI	Prunus_avium	Prunus avium L.	Prunus
419	PRUCER	Prunus_cerasifera	Prunus cerasifera?Ehrh.	Prunus
420	PRUDOM	Prunus_domestica	Prunus domestica?L.	Prunus
474	PRUDUL	Prunus_dulcis	Prunus dulcisÊ(Mill.) D.A.Webb	Prunus
257	PRULUS	Prunus_lusitanica	Prunus lusitanica L.	Prunus
258	PRUMAH	Prunus_mahaleb	Prunus mahaleb L.	Prunus
259	PRUPAD	Prunus_padus	Prunus padus L.	Prunus
261	PRUSER	Prunus_serotina	Prunus serotina Ehrh.	Prunus
262	PRUSPI	Prunus_spinosa	Prunus spinosa L.	Prunus
264	PSEMEN	Pseudotsuga_menziesii	Pseudotsuga menziesii (Mirb.) Franco	Pseudotsuga
266	PYR	Pyrus	Pyrus spp.	Pyrus
500	PYRAMY	Pyrus_amygdaliformis	Pyrus amygdaliformis Vill.	Pyrus
265	PYRCOM	Pyrus_communis	Pyrus communisÊL.	Pyrus
521	PYRCOR	Pyrus_cordata	Pyrus cordata L.	Pyrus
423	PYRPYR	Pyrus_pyraster	Pyrus pyraster?Burgsd.	Pyrus
267	QUE	Quercus	Quercus spp.	Quercus
268	QUECAN	Quercus_canariensis	Quercus canariensis Willd.	Quercus
269	QUECER	Quercus_cerris	Quercus cerris L.	Quercus
271	QUEFAG	Quercus_faginea	Quercus fagineaÊLam.	Quercus
425	QUEFRA	Quercus_frainetto	Quercus frainetto?Ten.	Quercus
273	QUEILE	Quercus_ilex	Quercus ilexÊL.	Quercus
275	QUEPAL	Quercus_palustris	Quercus palustrisÊMŸnchh.	Quercus
